bug: abort in add_browser, pair: (abort, gettimeofday), support: 16, confidence: 80.00%
bug: apr_allocator_mutex_set in apr_terminate2, pair: (apr_allocator_mutex_set, apr_sleep), support: 36, confidence: 85.71%
bug: apr_allocator_mutex_set in apr_terminate2, pair: (apr_allocator_mutex_set, free), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in init_process, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 35, confidence: 83.33%
bug: apr_allocator_mutex_set in init_process, pair: (apr_allocator_mutex_set, apr_sleep), support: 36, confidence: 85.71%
bug: apr_allocator_mutex_set in init_process, pair: (apr_allocator_mutex_set, free), support: 39, confidence: 92.86%
bug: apr_allocator_mutex_set in perform_idle_server_maintenance, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 35, confidence: 83.33%
bug: apr_allocator_mutex_set in perform_idle_server_maintenance, pair: (apr_allocator_mutex_set, apr_sleep), support: 36, confidence: 85.71%
bug: apr_allocator_mutex_set in perform_idle_server_maintenance, pair: (apr_allocator_mutex_set, free), support: 39, confidence: 92.86%
bug: apr_allocator_owner_get in ap_mpm_run, pair: (allocator_free, apr_allocator_owner_get), support: 38, confidence: 97.44%
bug: apr_allocator_owner_get in ap_mpm_run, pair: (apr_allocator_owner_get, apr_proc_kill), support: 35, confidence: 89.74%
bug: apr_allocator_owner_get in apr_pool_destroy, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 38, confidence: 97.44%
bug: apr_allocator_owner_get in apr_terminate2, pair: (apr_allocator_owner_get, apr_proc_kill), support: 35, confidence: 89.74%
bug: apr_allocator_owner_get in apr_terminate2, pair: (apr_allocator_owner_get, apr_sleep), support: 36, confidence: 92.31%
bug: apr_allocator_owner_get in apr_terminate2, pair: (apr_allocator_owner_get, free), support: 36, confidence: 92.31%
bug: apr_allocator_owner_get in init_process, pair: (apr_allocator_owner_get, apr_proc_kill), support: 35, confidence: 89.74%
bug: apr_allocator_owner_get in init_process, pair: (apr_allocator_owner_get, apr_sleep), support: 36, confidence: 92.31%
bug: apr_allocator_owner_get in init_process, pair: (apr_allocator_owner_get, free), support: 36, confidence: 92.31%
bug: apr_allocator_owner_get in perform_idle_server_maintenance, pair: (apr_allocator_owner_get, apr_proc_kill), support: 35, confidence: 89.74%
bug: apr_allocator_owner_get in perform_idle_server_maintenance, pair: (apr_allocator_owner_get, apr_sleep), support: 36, confidence: 92.31%
bug: apr_allocator_owner_get in perform_idle_server_maintenance, pair: (apr_allocator_owner_get, free), support: 36, confidence: 92.31%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (allocator_free, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_cleanup, apr_brigade_flatten), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_pool_allocator_get), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_pool_destroy), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, destroy_resource), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free_container), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free_proc_chain), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, get_container), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, memchr), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pop_resource), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, push_resource), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, run_cleanups), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, writev), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (__errno_location, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (allocator_free, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, apr_pool_allocator_get), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, apr_pool_destroy), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, destroy_resource), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, free_container), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, free_proc_chain), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, get_container), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, memchr), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, pop_resource), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, push_resource), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, run_cleanups), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (allocator_free, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_pool_allocator_get), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_pool_destroy), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_thread_mutex_lock), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_thread_mutex_unlock), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, destroy_resource), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, free_container), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, free_proc_chain), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, get_container), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, pop_resource), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, push_resource), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, run_cleanups), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, writev), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (__errno_location, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (allocator_free, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_brigade_cleanup, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, apr_pool_allocator_get), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, apr_pool_destroy), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, destroy_resource), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, free_container), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, free_proc_chain), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, get_container), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, memchr), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, pop_resource), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, push_resource), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, run_cleanups), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, writev), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (__errno_location, apr_bucket_socket_make), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in ms_find_conn, pair: (allocator_free, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_brigade_cleanup, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, apr_pool_destroy), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, free_proc_chain), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, get_container), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, memchr), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, push_resource), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, run_cleanups), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, writev), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in ms_find_conn, pair: (__errno_location, apr_bucket_socket_make), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (allocator_free, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_brigade_cleanup, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, apr_pool_allocator_get), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, apr_pool_destroy), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, destroy_resource), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, free_container), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, free_proc_chain), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, get_container), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, memchr), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, pop_resource), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, push_resource), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, run_cleanups), support: 14, confidence: 82.35%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, writev), support: 14, confidence: 82.35%
bug: apr_cpystrn in allow_cmd, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in apr_dbm_geterror, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in apr_dso_error, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in apr_os_strerror, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in apr_sha1_base64, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in apr_strerror, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in apr_tokenize_to_argv, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in arr_elts_getstr, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in cgi_child_errfn, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in load_file, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in native_strerror, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: apr_cpystrn in stuffbuffer, pair: (apr_cpystrn, strlen), support: 63, confidence: 84.00%
bug: ap_recent_ctime in ap_reclaim_child_processes, pair: (ap_recent_ctime, apr_time_now), support: 24, confidence: 96.00%
bug: apr_ecvt in ap_log_pid, pair: (apr_ecvt, apr_snprintf), support: 20, confidence: 90.91%
bug: apr_ecvt in ap_log_rerror, pair: (apr_ecvt, apr_os_strerror), support: 21, confidence: 95.45%
bug: apr_ecvt in ap_log_rerror, pair: (apr_ecvt, apr_snprintf), support: 20, confidence: 90.91%
bug: apr_ecvt in ap_log_rerror, pair: (apr_ecvt, native_strerror), support: 21, confidence: 95.45%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, apr_thread_mutex_lock), support: 84, confidence: 82.35%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, apr_thread_mutex_unlock), support: 84, confidence: 82.35%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, strcpy), support: 96, confidence: 94.12%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, strlen), support: 99, confidence: 97.06%
bug: apr_error_string in allow_cmd, pair: (apr_error_string, stuffbuffer), support: 98, confidence: 96.08%
bug: apr_error_string in ap_http_chunk_filter, pair: (apr_error_string, apr_thread_mutex_lock), support: 84, confidence: 82.35%
bug: apr_error_string in ap_http_chunk_filter, pair: (apr_error_string, apr_thread_mutex_unlock), support: 84, confidence: 82.35%
bug: apr_error_string in ap_log_cerror, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_log_cerror, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_log_error, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_log_error, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_log_perror, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_log_perror, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_log_rerror, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_log_rerror, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_open_piped_log_ex, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_open_piped_log_ex, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_open_piped_log, pair: (apr_error_string, strcpy), support: 96, confidence: 94.12%
bug: apr_error_string in ap_process_resource_config, pair: (apr_error_string, strcpy), support: 96, confidence: 94.12%
bug: apr_error_string in apr_brigade_printf, pair: (apr_error_string, apr_thread_mutex_lock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_brigade_printf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_brigade_vprintf, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in apr_brigade_vprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_brigade_vprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_brigade_vprintf, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_regerror, pair: (apr_error_string, apr_thread_mutex_lock), support: 84, confidence: 82.35%
bug: apr_error_string in ap_regerror, pair: (apr_error_string, apr_thread_mutex_unlock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_file_printf, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in apr_file_printf, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in ap_rprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 84, confidence: 82.35%
bug: apr_error_string in ap_rprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_pvsprintf, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in apr_pvsprintf, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in apr_snprintf, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in apr_snprintf, pair: (apr_error_string, apr_thread_mutex_lock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_snprintf, pair: (apr_error_string, apr_thread_mutex_unlock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_snprintf, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, apr_thread_mutex_lock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, apr_thread_mutex_unlock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, strcpy), support: 96, confidence: 94.12%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, strlen), support: 99, confidence: 97.06%
bug: apr_error_string in apr_strerror, pair: (apr_error_string, stuffbuffer), support: 98, confidence: 96.08%
bug: apr_error_string in apr_strfsize, pair: (apr_error_string, apr_thread_mutex_lock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_strfsize, pair: (apr_error_string, apr_thread_mutex_unlock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_vformatter, pair: (apr_error_string, apr_os_strerror), support: 87, confidence: 85.29%
bug: apr_error_string in apr_vformatter, pair: (apr_error_string, apr_thread_mutex_lock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_vformatter, pair: (apr_error_string, apr_thread_mutex_unlock), support: 84, confidence: 82.35%
bug: apr_error_string in apr_vformatter, pair: (apr_error_string, native_strerror), support: 87, confidence: 85.29%
