bug: alloc_array in add_ct_output_filters, pair: (alloc_array, apr_palloc), support: 14, confidence: 82.35%
bug: apr_thread_mutex_lock in apr_dbd_mutex_lock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 112, confidence: 98.25%
bug: apr_thread_mutex_lock in apu_dso_mutex_lock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 112, confidence: 98.25%
bug: apr_thread_mutex_unlock in apr_dbd_mutex_unlock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 112, confidence: 96.55%
bug: apr_thread_mutex_unlock in apr_global_mutex_trylock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 112, confidence: 96.55%
bug: apr_thread_mutex_unlock in apr_global_mutex_unlock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 112, confidence: 96.55%
bug: apr_thread_mutex_unlock in apu_dso_mutex_unlock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 112, confidence: 96.55%
bug: file_read_buffered in cfg_getstr, pair: (apr_wait_for_io_or_timeout, file_read_buffered), support: 10, confidence: 83.33%
bug: file_read_buffered in cfg_getstr, pair: (__errno_location, file_read_buffered), support: 10, confidence: 83.33%
bug: file_read_buffered in cfg_getstr, pair: (file_read_buffered, read), support: 10, confidence: 83.33%
bug: file_read_buffered in getsfunc_FILE, pair: (apr_wait_for_io_or_timeout, file_read_buffered), support: 10, confidence: 83.33%
bug: file_read_buffered in getsfunc_FILE, pair: (__errno_location, file_read_buffered), support: 10, confidence: 83.33%
bug: file_read_buffered in getsfunc_FILE, pair: (file_read_buffered, read), support: 10, confidence: 83.33%
bug: fputc in ap_hook_default_port, pair: (apr_palloc, fputc), support: 29, confidence: 82.86%
bug: fputc in ap_hook_default_port, pair: (fputc, make_array_core), support: 29, confidence: 82.86%
bug: fputc in ap_hook_http_scheme, pair: (apr_palloc, fputc), support: 29, confidence: 82.86%
bug: fputc in ap_hook_http_scheme, pair: (fputc, make_array_core), support: 29, confidence: 82.86%
bug: fputc in ap_hook_log_transaction, pair: (apr_palloc, fputc), support: 29, confidence: 82.86%
bug: fputc in ap_hook_log_transaction, pair: (fputc, make_array_core), support: 29, confidence: 82.86%
bug: fputc in ap_hook_post_read_request, pair: (apr_palloc, fputc), support: 29, confidence: 82.86%
bug: fputc in ap_hook_post_read_request, pair: (fputc, make_array_core), support: 29, confidence: 82.86%
bug: fputc in apr_hook_debug_show, pair: (apr_palloc, fputc), support: 29, confidence: 82.86%
bug: fputc in apr_hook_debug_show, pair: (fputc, make_array_core), support: 29, confidence: 82.86%
bug: fputc in apr_hook_sort_all, pair: (apr_palloc, fputc), support: 29, confidence: 82.86%
bug: fputc in apr_hook_sort_all, pair: (fputc, fputs), support: 33, confidence: 94.29%
bug: fputc in apr_hook_sort_all, pair: (fputc, make_array_core), support: 29, confidence: 82.86%
bug: fputc in sort_hook, pair: (fputc, fputs), support: 33, confidence: 94.29%
bug: fputs in ap_hook_default_port, pair: (apr_palloc, fputs), support: 28, confidence: 84.85%
bug: fputs in ap_hook_default_port, pair: (fputs, make_array_core), support: 28, confidence: 84.85%
bug: fputs in ap_hook_http_scheme, pair: (apr_palloc, fputs), support: 28, confidence: 84.85%
bug: fputs in ap_hook_http_scheme, pair: (fputs, make_array_core), support: 28, confidence: 84.85%
bug: fputs in ap_hook_log_transaction, pair: (apr_palloc, fputs), support: 28, confidence: 84.85%
bug: fputs in ap_hook_log_transaction, pair: (fputs, make_array_core), support: 28, confidence: 84.85%
bug: fputs in ap_hook_post_read_request, pair: (apr_palloc, fputs), support: 28, confidence: 84.85%
bug: fputs in ap_hook_post_read_request, pair: (fputs, make_array_core), support: 28, confidence: 84.85%
bug: fputs in apr_hook_debug_show, pair: (apr_palloc, fputs), support: 28, confidence: 84.85%
bug: fputs in apr_hook_debug_show, pair: (fputs, make_array_core), support: 28, confidence: 84.85%
bug: free_proc_chain in apr_memcache_multgetp, pair: (apr_allocator_mutex_get, free_proc_chain), support: 15, confidence: 83.33%
bug: free_proc_chain in apr_memcache_multgetp, pair: (apr_thread_mutex_lock, free_proc_chain), support: 16, confidence: 88.89%
bug: free_proc_chain in apr_memcache_multgetp, pair: (apr_thread_mutex_unlock, free_proc_chain), support: 16, confidence: 88.89%
bug: free_proc_chain in apr_pool_clear_debug, pair: (apr_allocator_mutex_get, free_proc_chain), support: 15, confidence: 83.33%
bug: free_proc_chain in apr_pool_clear_debug, pair: (apr_thread_mutex_lock, free_proc_chain), support: 16, confidence: 88.89%
bug: free_proc_chain in apr_pool_clear_debug, pair: (apr_thread_mutex_unlock, free_proc_chain), support: 16, confidence: 88.89%
bug: free_proc_chain in apr_pool_destroy, pair: (apr_pool_destroy, free_proc_chain), support: 17, confidence: 94.44%
bug: free_proc_chain in ms_release_conn, pair: (apr_allocator_mutex_get, free_proc_chain), support: 15, confidence: 83.33%
bug: lseek in setptr, pair: (apr_thread_mutex_lock, lseek), support: 16, confidence: 94.12%
bug: lseek in setptr, pair: (apr_thread_mutex_unlock, lseek), support: 16, confidence: 94.12%
bug: make_array_core in core_create_conn, pair: (apr_palloc, make_array_core), support: 47, confidence: 97.92%
bug: pthread_mutexattr_destroy in proc_mutex_proc_pthread_create, pair: (pthread_mutexattr_destroy, pthread_mutexattr_settype), support: 11, confidence: 91.67%
bug: pthread_mutexattr_init in proc_mutex_proc_pthread_create, pair: (pthread_mutexattr_init, pthread_mutexattr_settype), support: 11, confidence: 91.67%
bug: run_cleanups in apr_memcache_multgetp, pair: (apr_allocator_mutex_get, run_cleanups), support: 15, confidence: 83.33%
bug: run_cleanups in apr_memcache_multgetp, pair: (apr_thread_mutex_lock, run_cleanups), support: 16, confidence: 88.89%
bug: run_cleanups in apr_memcache_multgetp, pair: (apr_thread_mutex_unlock, run_cleanups), support: 16, confidence: 88.89%
bug: run_cleanups in apr_pool_clear_debug, pair: (apr_allocator_mutex_get, run_cleanups), support: 15, confidence: 83.33%
bug: run_cleanups in apr_pool_clear_debug, pair: (apr_thread_mutex_lock, run_cleanups), support: 16, confidence: 88.89%
bug: run_cleanups in apr_pool_clear_debug, pair: (apr_thread_mutex_unlock, run_cleanups), support: 16, confidence: 88.89%
bug: run_cleanups in apr_pool_destroy, pair: (apr_pool_destroy, run_cleanups), support: 17, confidence: 94.44%
bug: run_cleanups in ms_release_conn, pair: (apr_allocator_mutex_get, run_cleanups), support: 15, confidence: 83.33%
bug: soblock in ap_read_request, pair: (__errno_location, soblock), support: 11, confidence: 91.67%
bug: sononblock in ap_read_request, pair: (__errno_location, sononblock), support: 11, confidence: 91.67%
bug: strcpy in apr_strfsize, pair: (strcpy, strlen), support: 23, confidence: 95.83%
bug: substring_conf in ap_getword_conf_nc, pair: (apr_palloc, substring_conf), support: 13, confidence: 81.25%
bug: substring_conf in ap_getword_conf_nc, pair: (strlen, substring_conf), support: 13, confidence: 81.25%
bug: substring_conf in set_loglevel, pair: (apr_palloc, substring_conf), support: 13, confidence: 81.25%
bug: substring_conf in set_server_alias, pair: (strlen, substring_conf), support: 13, confidence: 81.25%
bug: substring_conf in unixd_set_rlimit, pair: (apr_palloc, substring_conf), support: 13, confidence: 81.25%
bug: substring_conf in unixd_set_rlimit, pair: (strlen, substring_conf), support: 13, confidence: 81.25%
bug: table_reindex in ap_read_request, pair: (apr_array_push_noclear, table_reindex), support: 48, confidence: 84.21%
bug: table_reindex in apr_table_compress, pair: (apr_array_push_noclear, table_reindex), support: 48, confidence: 84.21%
bug: table_reindex in apr_table_overlap, pair: (apr_array_push_noclear, table_reindex), support: 48, confidence: 84.21%
bug: table_reindex in apr_table_overlay, pair: (apr_array_push_noclear, table_reindex), support: 48, confidence: 84.21%
bug: table_reindex in apr_table_overlay, pair: (strcasecmp, table_reindex), support: 56, confidence: 98.25%
bug: table_reindex in apr_table_setn, pair: (apr_array_push_noclear, table_reindex), support: 48, confidence: 84.21%
bug: table_reindex in apr_table_set, pair: (apr_array_push_noclear, table_reindex), support: 48, confidence: 84.21%
bug: table_reindex in apr_table_unset, pair: (apr_array_push_noclear, table_reindex), support: 48, confidence: 84.21%
bug: table_reindex in basic_http_header, pair: (apr_array_push_noclear, table_reindex), support: 48, confidence: 84.21%
bug: table_reindex in strip_headers_request_body, pair: (apr_array_push_noclear, table_reindex), support: 48, confidence: 84.21%
