bug: abort in add_browser, pair: (abort, lseek), support: 16, confidence: 80.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, kill), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (__errno_location, apr_allocator_mutex_set), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_destroy, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 90.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, kill), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (__errno_location, apr_allocator_mutex_set), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in init_process, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 90.00%
bug: apr_allocator_mutex_set in main, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 90.00%
bug: apr_allocator_owner_get in ap_mpm_run, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 97.87%
bug: apr_allocator_owner_get in apr_pool_destroy, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 46, confidence: 97.87%
bug: apr_allocator_owner_get in init_process, pair: (apr_allocator_destroy, apr_allocator_owner_get), support: 45, confidence: 95.74%
bug: apr_allocator_owner_get in main, pair: (apr_allocator_destroy, apr_allocator_owner_get), support: 45, confidence: 95.74%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (allocator_free, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_destroy, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_mutex_get, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_mutex_set, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_owner_get, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_cleanup, apr_brigade_flatten), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_pool_allocator_get), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_pool_destroy), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_proc_kill), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_sleep), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, destroy_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free_container), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free_proc_chain), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, gettimeofday), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, kill), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, memchr), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pop_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pthread_cond_signal), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pthread_cond_timedwait), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pthread_cond_wait), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, run_cleanups), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, writev), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (__errno_location, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (allocator_free, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_destroy, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_mutex_get, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_mutex_set, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_owner_get, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_pool_allocator_get), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_pool_destroy), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_proc_kill), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_sleep), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, destroy_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, free_container), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, free_proc_chain), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, gettimeofday), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, kill), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, pop_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, pthread_cond_signal), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, pthread_cond_timedwait), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, pthread_cond_wait), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, run_cleanups), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, writev), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (__errno_location, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (allocator_free, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_allocator_destroy, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_allocator_mutex_get, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_allocator_mutex_set, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_allocator_owner_get, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_brigade_cleanup, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, apr_pool_allocator_get), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, apr_pool_destroy), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, apr_proc_kill), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, apr_sleep), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, destroy_resource), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, free_container), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, free_proc_chain), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, free), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, gettimeofday), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, kill), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, memchr), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, pop_resource), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, pthread_cond_signal), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, pthread_cond_timedwait), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, pthread_cond_wait), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, run_cleanups), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, writev), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (__errno_location, apr_bucket_socket_make), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in ms_find_conn, pair: (allocator_free, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_allocator_destroy, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_allocator_mutex_get, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_allocator_mutex_set, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_allocator_owner_get, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_brigade_cleanup, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, apr_pool_destroy), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, apr_proc_kill), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, apr_sleep), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, free_proc_chain), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, free), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, kill), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, memchr), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, pthread_cond_signal), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, run_cleanups), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, writev), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (__errno_location, apr_bucket_socket_make), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (allocator_free, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_allocator_destroy, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_allocator_mutex_get, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_allocator_mutex_set, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_allocator_owner_get, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_brigade_cleanup, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, apr_pool_allocator_get), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, apr_pool_destroy), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, apr_proc_kill), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, apr_sleep), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, destroy_resource), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, free_container), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, free_proc_chain), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, gettimeofday), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, kill), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, memchr), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, pop_resource), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, pthread_cond_signal), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, pthread_cond_timedwait), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, pthread_cond_wait), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, run_cleanups), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in socket_bucket_read, pair: (apr_bucket_socket_make, writev), support: 15, confidence: 83.33%
bug: apr_cpystrn in add_browser, pair: (apr_cpystrn, ntohl), support: 178, confidence: 85.58%
bug: apr_cpystrn in add_setenvif, pair: (apr_cpystrn, ntohl), support: 178, confidence: 85.58%
bug: apr_cpystrn in allow_cmd, pair: (apr_cpystrn, apr_thread_mutex_lock), support: 177, confidence: 85.10%
bug: apr_cpystrn in allow_cmd, pair: (apr_cpystrn, apr_thread_mutex_unlock), support: 177, confidence: 85.10%
bug: apr_cpystrn in allow_cmd, pair: (apr_cpystrn, conv_10), support: 183, confidence: 87.98%
bug: apr_cpystrn in allow_cmd, pair: (apr_cpystrn, conv_p2), support: 183, confidence: 87.98%
bug: apr_cpystrn in allow_cmd, pair: (apr_cpystrn, ntohl), support: 178, confidence: 85.58%
bug: apr_cpystrn in allow_cmd, pair: (apr_cpystrn, strcpy), support: 186, confidence: 89.42%
bug: apr_cpystrn in allow_cmd, pair: (apr_cpystrn, strlen), support: 196, confidence: 94.23%
bug: apr_cpystrn in allow_cmd, pair: (__ctype_b_loc, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in allow_cmd, pair: (__errno_location, apr_cpystrn), support: 186, confidence: 89.42%
bug: apr_cpystrn in allow_cmd, pair: (__isinf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in allow_cmd, pair: (__isinff, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in allow_cmd, pair: (__isinfl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in allow_cmd, pair: (__isnan, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in allow_cmd, pair: (__isnanf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in allow_cmd, pair: (__isnanl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_http_chunk_filter, pair: (apr_cpystrn, apr_thread_mutex_lock), support: 177, confidence: 85.10%
bug: apr_cpystrn in ap_http_chunk_filter, pair: (apr_cpystrn, apr_thread_mutex_unlock), support: 177, confidence: 85.10%
bug: apr_cpystrn in ap_lingering_close, pair: (apr_cpystrn, apr_error_string), support: 186, confidence: 89.42%
bug: apr_cpystrn in ap_lingering_close, pair: (apr_cpystrn, conv_10), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_lingering_close, pair: (apr_cpystrn, conv_p2), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_lingering_close, pair: (apr_cpystrn, gai_strerror), support: 186, confidence: 89.42%
bug: apr_cpystrn in ap_lingering_close, pair: (apr_cpystrn, hstrerror), support: 187, confidence: 89.90%
bug: apr_cpystrn in ap_lingering_close, pair: (apr_cpystrn, ntohl), support: 178, confidence: 85.58%
bug: apr_cpystrn in ap_lingering_close, pair: (apr_cpystrn, strcpy), support: 186, confidence: 89.42%
bug: apr_cpystrn in ap_lingering_close, pair: (apr_cpystrn, strerror_r), support: 187, confidence: 89.90%
bug: apr_cpystrn in ap_lingering_close, pair: (__ctype_b_loc, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_lingering_close, pair: (__isinf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_lingering_close, pair: (__isinff, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_lingering_close, pair: (__isinfl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_lingering_close, pair: (__isnan, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_lingering_close, pair: (__isnanf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_lingering_close, pair: (__isnanl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (apr_cpystrn, apr_error_string), support: 186, confidence: 89.42%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (apr_cpystrn, conv_10), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (apr_cpystrn, conv_p2), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (apr_cpystrn, gai_strerror), support: 186, confidence: 89.42%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (apr_cpystrn, hstrerror), support: 187, confidence: 89.90%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (apr_cpystrn, ntohl), support: 178, confidence: 85.58%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (apr_cpystrn, strchr), support: 189, confidence: 90.87%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (apr_cpystrn, strcpy), support: 186, confidence: 89.42%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (apr_cpystrn, strerror_r), support: 187, confidence: 89.90%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (__ctype_b_loc, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (__isinf, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (__isinff, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (__isinfl, apr_cpystrn), support: 183, confidence: 87.98%
bug: apr_cpystrn in ap_mpm_set_coredumpdir, pair: (__isnan, apr_cpystrn), support: 183, confidence: 87.98%
