bug: ap_escape_errorlog_item in main, pair: (ap_escape_errorlog_item, apr_time_now), support: 62, confidence: 98.41%
bug: apr_file_flush_locked in ap_log_perror, pair: (__errno_location, apr_file_flush_locked), support: 22, confidence: 84.62%
bug: apr_file_flush_locked in ap_log_rerror, pair: (__errno_location, apr_file_flush_locked), support: 22, confidence: 84.62%
bug: apr_filepath_get in ap_mpm_set_coredumpdir, pair: (apr_filepath_get, strrchr), support: 11, confidence: 84.62%
bug: apr_filepath_get in ap_set_file_slot, pair: (apr_filepath_get, strrchr), support: 11, confidence: 84.62%
bug: apr_file_puts in main, pair: (apr_file_puts, apr_time_now), support: 62, confidence: 98.41%
bug: apr_gcvt in ap_log_rerror, pair: (apr_gcvt, apr_strerror), support: 21, confidence: 95.45%
bug: apr_gcvt in apr_strfsize, pair: (apr_gcvt, apr_strfsize), support: 21, confidence: 95.45%
bug: apr_hash_first in default_handler, pair: (apr_hash_first, memcmp), support: 21, confidence: 95.45%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (allocator_free, apr_pool_allocator_get), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, apr_pool_destroy), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, apr_thread_mutex_lock), support: 11, confidence: 91.67%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, apr_thread_mutex_unlock), support: 11, confidence: 91.67%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, apr_time_now), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, free_proc_chain), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (apr_pool_allocator_get, run_cleanups), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in apr_bucket_alloc_create, pair: (__errno_location, apr_pool_allocator_get), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in ms_find_conn, pair: (allocator_free, apr_pool_allocator_get), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, apr_pool_destroy), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, apr_time_now), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, free_proc_chain), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in ms_find_conn, pair: (apr_pool_allocator_get, run_cleanups), support: 10, confidence: 83.33%
bug: apr_pool_allocator_get in ms_find_conn, pair: (__errno_location, apr_pool_allocator_get), support: 10, confidence: 83.33%
bug: apr_pool_destroy in ap_mpm_run, pair: (apr_pool_destroy, apr_thread_mutex_lock), support: 35, confidence: 92.11%
bug: apr_pool_destroy in ap_mpm_run, pair: (apr_pool_destroy, apr_thread_mutex_unlock), support: 35, confidence: 92.11%
bug: apr_pool_destroy in ap_mpm_run, pair: (apr_pool_destroy, free_proc_chain), support: 34, confidence: 89.47%
bug: apr_pool_destroy in ap_mpm_run, pair: (apr_pool_destroy, run_cleanups), support: 34, confidence: 89.47%
bug: apr_pool_destroy in apr_terminate2, pair: (allocator_free, apr_pool_destroy), support: 35, confidence: 92.11%
bug: apr_pool_destroy in apr_terminate2, pair: (apr_pool_destroy, apr_thread_mutex_lock), support: 35, confidence: 92.11%
bug: apr_pool_destroy in apr_terminate2, pair: (apr_pool_destroy, apr_thread_mutex_unlock), support: 35, confidence: 92.11%
bug: apr_pool_destroy in apr_terminate2, pair: (apr_pool_destroy, free_proc_chain), support: 34, confidence: 89.47%
bug: apr_pool_destroy in apr_terminate2, pair: (apr_pool_destroy, run_cleanups), support: 34, confidence: 89.47%
bug: apr_pool_destroy in init_process, pair: (allocator_free, apr_pool_destroy), support: 35, confidence: 92.11%
bug: apr_pool_destroy in init_process, pair: (apr_pool_destroy, free_proc_chain), support: 34, confidence: 89.47%
bug: apr_pool_destroy in init_process, pair: (apr_pool_destroy, run_cleanups), support: 34, confidence: 89.47%
bug: apr_pool_destroy in perform_idle_server_maintenance, pair: (allocator_free, apr_pool_destroy), support: 35, confidence: 92.11%
bug: apr_pool_destroy in perform_idle_server_maintenance, pair: (apr_pool_destroy, apr_thread_mutex_lock), support: 35, confidence: 92.11%
bug: apr_pool_destroy in perform_idle_server_maintenance, pair: (apr_pool_destroy, apr_thread_mutex_unlock), support: 35, confidence: 92.11%
bug: apr_pool_destroy in perform_idle_server_maintenance, pair: (apr_pool_destroy, free_proc_chain), support: 34, confidence: 89.47%
bug: apr_pool_destroy in perform_idle_server_maintenance, pair: (apr_pool_destroy, run_cleanups), support: 34, confidence: 89.47%
bug: apr_procattr_cmdtype_set in cgi_handler, pair: (apr_procattr_cmdtype_set, strlen), support: 11, confidence: 84.62%
bug: apr_procattr_cmdtype_set in include_cmd, pair: (apr_procattr_cmdtype_set, strlen), support: 11, confidence: 84.62%
bug: apr_proc_kill in apr_pool_destroy, pair: (apr_pool_destroy, apr_proc_kill), support: 17, confidence: 94.44%
bug: apr_pstrcat in setup_choice_response, pair: (apr_pstrcat, strlen), support: 11, confidence: 91.67%
bug: apr_sleep in ap_mpm_run, pair: (apr_sleep, apr_thread_mutex_lock), support: 22, confidence: 84.62%
bug: apr_sleep in ap_mpm_run, pair: (apr_sleep, apr_thread_mutex_unlock), support: 22, confidence: 84.62%
bug: apr_sleep in ap_reclaim_child_processes, pair: (apr_sleep, apr_thread_mutex_lock), support: 22, confidence: 84.62%
bug: apr_sleep in ap_reclaim_child_processes, pair: (apr_sleep, apr_thread_mutex_unlock), support: 22, confidence: 84.62%
bug: apr_sleep in ap_wait_or_timeout, pair: (apr_sleep, apr_thread_mutex_lock), support: 22, confidence: 84.62%
bug: apr_sleep in ap_wait_or_timeout, pair: (apr_sleep, apr_thread_mutex_unlock), support: 22, confidence: 84.62%
bug: apr_sleep in free_proc_chain, pair: (apr_sleep, apr_thread_mutex_lock), support: 22, confidence: 84.62%
bug: apr_sleep in free_proc_chain, pair: (apr_sleep, apr_thread_mutex_unlock), support: 22, confidence: 84.62%
bug: apr_snprintf in apr_brigade_vprintf, pair: (ap_escape_errorlog_item, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_brigade_vprintf, pair: (ap_recent_ctime, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_brigade_vprintf, pair: (apr_file_flush, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_brigade_vprintf, pair: (apr_file_puts, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_brigade_vprintf, pair: (apr_snprintf, apr_strerror), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_brigade_vprintf, pair: (apr_snprintf, apr_time_now), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_brigade_vprintf, pair: (apr_snprintf, apr_vsnprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_brigade_vprintf, pair: (apr_snprintf, strrchr), support: 66, confidence: 90.41%
bug: apr_snprintf in apr_brigade_vprintf, pair: (apr_snprintf, syslog), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_brigade_vprintf, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (ap_escape_errorlog_item, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (ap_recent_ctime, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (apr_file_flush, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (apr_file_puts, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (apr_snprintf, apr_strerror), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (apr_snprintf, apr_time_now), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (apr_snprintf, apr_vsnprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (apr_snprintf, strcpy), support: 69, confidence: 94.52%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (apr_snprintf, strlen), support: 71, confidence: 97.26%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (apr_snprintf, strrchr), support: 66, confidence: 90.41%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (apr_snprintf, syslog), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_get_usednames, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_open, pair: (ap_escape_errorlog_item, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_open, pair: (ap_recent_ctime, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_open, pair: (apr_file_flush, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_open, pair: (apr_file_puts, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_open, pair: (apr_snprintf, apr_strerror), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_open, pair: (apr_snprintf, apr_time_now), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_open, pair: (apr_snprintf, apr_vsnprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_open, pair: (apr_snprintf, strcpy), support: 69, confidence: 94.52%
bug: apr_snprintf in apr_dbm_open, pair: (apr_snprintf, strlen), support: 71, confidence: 97.26%
bug: apr_snprintf in apr_dbm_open, pair: (apr_snprintf, strrchr), support: 66, confidence: 90.41%
bug: apr_snprintf in apr_dbm_open, pair: (apr_snprintf, syslog), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_dbm_open, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_file_printf, pair: (ap_escape_errorlog_item, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_file_printf, pair: (ap_recent_ctime, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_file_printf, pair: (apr_file_flush, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_file_printf, pair: (apr_file_puts, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_file_printf, pair: (apr_snprintf, apr_strerror), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_file_printf, pair: (apr_snprintf, apr_time_now), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_file_printf, pair: (apr_snprintf, apr_vsnprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_file_printf, pair: (apr_snprintf, strrchr), support: 66, confidence: 90.41%
bug: apr_snprintf in apr_file_printf, pair: (apr_snprintf, syslog), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_file_printf, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_pvsprintf, pair: (ap_escape_errorlog_item, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_pvsprintf, pair: (ap_recent_ctime, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_pvsprintf, pair: (apr_file_flush, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_pvsprintf, pair: (apr_file_puts, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_pvsprintf, pair: (apr_snprintf, apr_strerror), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_pvsprintf, pair: (apr_snprintf, apr_time_now), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_pvsprintf, pair: (apr_snprintf, apr_vsnprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_pvsprintf, pair: (apr_snprintf, strrchr), support: 66, confidence: 90.41%
bug: apr_snprintf in apr_pvsprintf, pair: (apr_snprintf, syslog), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_pvsprintf, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_vsnprintf, pair: (ap_escape_errorlog_item, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_vsnprintf, pair: (ap_recent_ctime, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_vsnprintf, pair: (apr_file_flush, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_vsnprintf, pair: (apr_file_puts, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_vsnprintf, pair: (apr_snprintf, apr_strerror), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_vsnprintf, pair: (apr_snprintf, apr_time_now), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_vsnprintf, pair: (apr_snprintf, apr_vsnprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_vsnprintf, pair: (apr_snprintf, strrchr), support: 66, confidence: 90.41%
bug: apr_snprintf in apr_vsnprintf, pair: (apr_snprintf, syslog), support: 63, confidence: 86.30%
bug: apr_snprintf in apr_vsnprintf, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in ap_vrprintf, pair: (ap_escape_errorlog_item, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in ap_vrprintf, pair: (ap_recent_ctime, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in ap_vrprintf, pair: (apr_file_flush, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in ap_vrprintf, pair: (apr_file_puts, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in ap_vrprintf, pair: (apr_snprintf, apr_strerror), support: 63, confidence: 86.30%
bug: apr_snprintf in ap_vrprintf, pair: (apr_snprintf, apr_time_now), support: 63, confidence: 86.30%
bug: apr_snprintf in ap_vrprintf, pair: (apr_snprintf, apr_vsnprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in ap_vrprintf, pair: (apr_snprintf, strrchr), support: 66, confidence: 90.41%
bug: apr_snprintf in ap_vrprintf, pair: (apr_snprintf, syslog), support: 63, confidence: 86.30%
bug: apr_snprintf in ap_vrprintf, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_map_file, pair: (ap_escape_errorlog_item, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_map_file, pair: (ap_recent_ctime, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_map_file, pair: (apr_file_flush, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_map_file, pair: (apr_file_puts, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_map_file, pair: (apr_snprintf, apr_strerror), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_map_file, pair: (apr_snprintf, apr_time_now), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_map_file, pair: (apr_snprintf, apr_vsnprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_map_file, pair: (apr_snprintf, strcpy), support: 69, confidence: 94.52%
bug: apr_snprintf in handle_map_file, pair: (apr_snprintf, syslog), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_map_file, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_multi, pair: (ap_escape_errorlog_item, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_multi, pair: (ap_recent_ctime, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_multi, pair: (apr_file_flush, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_multi, pair: (apr_file_puts, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_multi, pair: (apr_snprintf, apr_strerror), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_multi, pair: (apr_snprintf, apr_time_now), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_multi, pair: (apr_snprintf, apr_vsnprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_multi, pair: (apr_snprintf, strcpy), support: 69, confidence: 94.52%
bug: apr_snprintf in handle_multi, pair: (apr_snprintf, syslog), support: 63, confidence: 86.30%
bug: apr_snprintf in handle_multi, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in index_directory, pair: (ap_escape_errorlog_item, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in index_directory, pair: (ap_recent_ctime, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in index_directory, pair: (apr_file_flush, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in index_directory, pair: (apr_file_puts, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in index_directory, pair: (apr_snprintf, apr_strerror), support: 63, confidence: 86.30%
bug: apr_snprintf in index_directory, pair: (apr_snprintf, apr_vsnprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in index_directory, pair: (apr_snprintf, syslog), support: 63, confidence: 86.30%
bug: apr_snprintf in index_directory, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 86.30%
bug: apr_snprintf in main, pair: (apr_snprintf, apr_time_now), support: 63, confidence: 86.30%
bug: apr_sockaddr_vars_set in mc_conn_construct, pair: (apr_sockaddr_vars_set, strlen), support: 10, confidence: 90.91%
bug: apr_strfsize in ap_log_rerror, pair: (apr_strerror, apr_strfsize), support: 20, confidence: 90.91%
bug: apr_strfsize in handle_autoindex, pair: (apr_gcvt, apr_strfsize), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (apr_strerror, apr_strfsize), support: 20, confidence: 90.91%
bug: apr_strfsize in handle_autoindex, pair: (apr_strfsize, conv_10_quad), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (apr_strfsize, conv_10), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (apr_strfsize, conv_apr_sockaddr), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (apr_strfsize, conv_fp), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (apr_strfsize, conv_in_addr), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (apr_strfsize, conv_os_thread_t_hex), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (apr_strfsize, conv_os_thread_t), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (apr_strfsize, conv_p2_quad), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (apr_strfsize, conv_p2), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (__isinf, apr_strfsize), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (__isinff, apr_strfsize), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (__isinfl, apr_strfsize), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (__isnan, apr_strfsize), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (__isnanf, apr_strfsize), support: 21, confidence: 95.45%
bug: apr_strfsize in handle_autoindex, pair: (__isnanl, apr_strfsize), support: 21, confidence: 95.45%
bug: apr_table_setn in core_map_to_storage, pair: (apr_table_setn, strcasecmp), support: 10, confidence: 90.91%
bug: apr_thread_mutex_lock in apr_dbd_mutex_lock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 327, confidence: 99.39%
bug: apr_thread_mutex_lock in apu_dso_mutex_lock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 327, confidence: 99.39%
bug: apr_thread_mutex_unlock in apr_dbd_mutex_unlock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 327, confidence: 98.79%
bug: apr_thread_mutex_unlock in apr_global_mutex_trylock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 327, confidence: 98.79%
bug: apr_thread_mutex_unlock in apr_global_mutex_unlock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 327, confidence: 98.79%
bug: apr_thread_mutex_unlock in apu_dso_mutex_unlock, pair: (apr_thread_mutex_lock, apr_thread_mutex_unlock), support: 327, confidence: 98.79%
bug: apr_time_now in apr_memcache_stats, pair: (apr_time_now, strlen), support: 81, confidence: 90.00%
bug: apr_time_now in apr_memcache_version, pair: (apr_time_now, strlen), support: 81, confidence: 90.00%
bug: apr_time_now in apr_thread_pool_push, pair: (apr_time_now, strlen), support: 81, confidence: 90.00%
bug: apr_time_now in apr_thread_pool_schedule, pair: (apr_time_now, strlen), support: 81, confidence: 90.00%
bug: apr_time_now in apr_thread_pool_top, pair: (apr_time_now, strlen), support: 81, confidence: 90.00%
bug: apr_time_now in apr_uuid_get, pair: (apr_time_now, strlen), support: 81, confidence: 90.00%
bug: apr_time_now in mc_version_ping, pair: (apr_time_now, strlen), support: 81, confidence: 90.00%
bug: apr_time_now in ms_release_conn, pair: (apr_time_now, strlen), support: 81, confidence: 90.00%
bug: apr_time_now in startup_children, pair: (apr_time_now, strlen), support: 81, confidence: 90.00%
bug: ap_run_error_log in ap_log_cerror, pair: (ap_escape_errorlog_item, ap_run_error_log), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_cerror, pair: (ap_recent_ctime, ap_run_error_log), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_cerror, pair: (ap_run_error_log, apr_file_flush), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_cerror, pair: (ap_run_error_log, apr_file_puts), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_cerror, pair: (ap_run_error_log, apr_snprintf), support: 63, confidence: 92.65%
bug: ap_run_error_log in ap_log_cerror, pair: (ap_run_error_log, apr_strerror), support: 64, confidence: 94.12%
