bug: abort in add_browser, pair: (abort, ap_run_error_log), support: 16, confidence: 80.00%
bug: allocator_free in apr_brigade_write, pair: (__errno_location, allocator_free), support: 46, confidence: 88.46%
bug: allocator_free in apr_brigade_writev, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 84.62%
bug: allocator_free in apr_brigade_writev, pair: (allocator_free, apr_allocator_mutex_get), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_writev, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_writev, pair: (allocator_free, apr_allocator_owner_get), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_writev, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_writev, pair: (allocator_free, apr_proc_kill), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_writev, pair: (allocator_free, apr_sleep), support: 45, confidence: 86.54%
bug: allocator_free in apr_brigade_writev, pair: (allocator_free, free_proc_chain), support: 46, confidence: 88.46%
bug: allocator_free in apr_brigade_writev, pair: (allocator_free, free), support: 47, confidence: 90.38%
bug: allocator_free in apr_brigade_writev, pair: (allocator_free, run_cleanups), support: 46, confidence: 88.46%
bug: allocator_free in apr_brigade_writev, pair: (__errno_location, allocator_free), support: 46, confidence: 88.46%
bug: allocator_free in apr_memcache_find_server_hash, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 84.62%
bug: allocator_free in apr_memcache_find_server_hash, pair: (allocator_free, apr_allocator_mutex_get), support: 45, confidence: 86.54%
bug: allocator_free in apr_memcache_find_server_hash, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 86.54%
bug: allocator_free in apr_memcache_find_server_hash, pair: (allocator_free, apr_allocator_owner_get), support: 45, confidence: 86.54%
bug: allocator_free in apr_memcache_find_server_hash, pair: (allocator_free, apr_proc_kill), support: 45, confidence: 86.54%
bug: allocator_free in apr_memcache_find_server_hash, pair: (allocator_free, apr_sleep), support: 45, confidence: 86.54%
bug: allocator_free in apr_memcache_find_server_hash, pair: (allocator_free, free), support: 47, confidence: 90.38%
bug: allocator_free in apr_pool_destroy, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 86.54%
bug: allocator_free in apr_terminate2, pair: (__errno_location, allocator_free), support: 46, confidence: 88.46%
bug: allocator_free in get_canned_error_string, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 84.62%
bug: allocator_free in get_canned_error_string, pair: (allocator_free, apr_allocator_mutex_get), support: 45, confidence: 86.54%
bug: allocator_free in get_canned_error_string, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 86.54%
bug: allocator_free in get_canned_error_string, pair: (allocator_free, apr_allocator_owner_get), support: 45, confidence: 86.54%
bug: allocator_free in get_canned_error_string, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 86.54%
bug: allocator_free in get_canned_error_string, pair: (allocator_free, apr_proc_kill), support: 45, confidence: 86.54%
bug: allocator_free in get_canned_error_string, pair: (allocator_free, apr_sleep), support: 45, confidence: 86.54%
bug: allocator_free in get_canned_error_string, pair: (allocator_free, free_proc_chain), support: 46, confidence: 88.46%
bug: allocator_free in get_canned_error_string, pair: (allocator_free, free), support: 47, confidence: 90.38%
bug: allocator_free in get_canned_error_string, pair: (allocator_free, run_cleanups), support: 46, confidence: 88.46%
bug: allocator_free in get_canned_error_string, pair: (__errno_location, allocator_free), support: 46, confidence: 88.46%
bug: allocator_free in init_process, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 84.62%
bug: allocator_free in init_process, pair: (__errno_location, allocator_free), support: 46, confidence: 88.46%
bug: ap_add_node in core_map_to_storage, pair: (ap_add_node, getenv), support: 12, confidence: 85.71%
bug: ap_add_node in include_config, pair: (ap_add_node, getenv), support: 12, confidence: 85.71%
bug: ap_add_node in process_resource_config_nofnmatch, pair: (ap_add_node, memcmp), support: 13, confidence: 92.86%
bug: ap_escape_errorlog_item in add_setenvif_core, pair: (__ctype_b_loc, ap_escape_errorlog_item), support: 10, confidence: 83.33%
bug: ap_escape_errorlog_item in ap_open_piped_log, pair: (ap_escape_errorlog_item, strcasecmp), support: 11, confidence: 91.67%
bug: ap_escape_errorlog_item in ap_open_piped_log, pair: (ap_escape_errorlog_item, strcmp), support: 11, confidence: 91.67%
bug: ap_escape_errorlog_item in ap_open_piped_log, pair: (__ctype_b_loc, ap_escape_errorlog_item), support: 10, confidence: 83.33%
bug: ap_escape_errorlog_item in ap_process_resource_config, pair: (ap_escape_errorlog_item, apr_strerror), support: 11, confidence: 91.67%
bug: ap_get_server_banner in ap_get_server_version, pair: (ap_get_server_banner, strlen), support: 12, confidence: 92.31%
bug: ap_index_of_response in ap_basic_http_header, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_custom_response, pair: (ap_index_of_response, strcasecmp), support: 15, confidence: 88.24%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, strcasecmp), support: 15, confidence: 88.24%
bug: ap_index_of_response in ap_get_status_line, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: apr_allocator_destroy in ap_mpm_run, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 97.78%
bug: apr_allocator_destroy in apr_memcache_add, pair: (apr_allocator_destroy, kill), support: 36, confidence: 80.00%
bug: apr_allocator_destroy in apr_memcache_decr, pair: (apr_allocator_destroy, kill), support: 36, confidence: 80.00%
bug: apr_allocator_destroy in apr_memcache_find_server_hash_default, pair: (apr_allocator_destroy, kill), support: 36, confidence: 80.00%
bug: apr_allocator_destroy in apr_memcache_incr, pair: (apr_allocator_destroy, kill), support: 36, confidence: 80.00%
bug: apr_allocator_destroy in apr_memcache_replace, pair: (apr_allocator_destroy, kill), support: 36, confidence: 80.00%
bug: apr_allocator_destroy in apr_memcache_set, pair: (apr_allocator_destroy, kill), support: 36, confidence: 80.00%
bug: apr_allocator_destroy in apr_pool_destroy, pair: (apr_allocator_destroy, apr_pool_destroy), support: 44, confidence: 97.78%
bug: apr_allocator_destroy in apr_terminate2, pair: (apr_allocator_destroy, kill), support: 36, confidence: 80.00%
bug: apr_allocator_destroy in apr_terminate2, pair: (__errno_location, apr_allocator_destroy), support: 44, confidence: 97.78%
bug: apr_allocator_destroy in perform_idle_server_maintenance, pair: (apr_allocator_destroy, kill), support: 36, confidence: 80.00%
bug: apr_allocator_destroy in startup_children, pair: (apr_allocator_destroy, kill), support: 36, confidence: 80.00%
bug: apr_allocator_mutex_set in ap_mpm_run, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (__errno_location, apr_allocator_mutex_set), support: 44, confidence: 89.80%
bug: apr_allocator_mutex_set in apr_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_initialize, pair: (__errno_location, apr_allocator_mutex_set), support: 44, confidence: 89.80%
bug: apr_allocator_mutex_set in apr_pool_destroy, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 46, confidence: 93.88%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (__errno_location, apr_allocator_mutex_set), support: 44, confidence: 89.80%
bug: apr_allocator_mutex_set in apr_terminate2, pair: (__errno_location, apr_allocator_mutex_set), support: 44, confidence: 89.80%
bug: apr_allocator_mutex_set in init_process, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 91.84%
bug: apr_allocator_mutex_set in init_process, pair: (__errno_location, apr_allocator_mutex_set), support: 44, confidence: 89.80%
bug: apr_allocator_owner_get in ap_mpm_run, pair: (allocator_free, apr_allocator_owner_get), support: 45, confidence: 97.83%
bug: apr_allocator_owner_get in apr_pool_destroy, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 45, confidence: 97.83%
bug: apr_allocator_owner_get in apr_terminate2, pair: (__errno_location, apr_allocator_owner_get), support: 44, confidence: 95.65%
bug: apr_allocator_owner_get in init_process, pair: (apr_allocator_destroy, apr_allocator_owner_get), support: 45, confidence: 97.83%
bug: apr_allocator_owner_get in init_process, pair: (__errno_location, apr_allocator_owner_get), support: 44, confidence: 95.65%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (allocator_free, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_destroy, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_mutex_get, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_mutex_set, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_owner_get, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_cleanup, apr_brigade_flatten), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_pool_allocator_get), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_pool_destroy), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_proc_kill), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_sleep), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, destroy_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free_container), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free_proc_chain), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, gettimeofday), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, memchr), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pop_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pthread_cond_signal), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pthread_cond_timedwait), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pthread_cond_wait), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, run_cleanups), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, writev), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (__errno_location, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_allocator_destroy, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_allocator_mutex_get, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_allocator_mutex_set, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_allocator_owner_get, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, apr_proc_kill), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, apr_sleep), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, free), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, pthread_cond_signal), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, pthread_cond_timedwait), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, pthread_cond_wait), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (allocator_free, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_destroy, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_mutex_get, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_mutex_set, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_owner_get, apr_brigade_flatten), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_pool_allocator_get), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_pool_destroy), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_proc_kill), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_sleep), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_thread_mutex_lock), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_thread_mutex_unlock), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, destroy_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, free_container), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, free_proc_chain), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, free), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, gettimeofday), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, pop_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, pthread_cond_signal), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, pthread_cond_timedwait), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, pthread_cond_wait), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, run_cleanups), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, writev), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (__errno_location, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (allocator_free, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_brigade_cleanup, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, apr_pool_allocator_get), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, apr_pool_destroy), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, destroy_resource), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, free_container), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, free_proc_chain), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, free), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, gettimeofday), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, memchr), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, pop_resource), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, pthread_cond_timedwait), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, pthread_cond_wait), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, run_cleanups), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (apr_bucket_socket_make, writev), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_bucket_socket_create, pair: (__errno_location, apr_bucket_socket_make), support: 16, confidence: 88.89%
bug: apr_bucket_socket_make in apr_memcache_find_server_hash, pair: (apr_bucket_socket_make, free), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_memcache_find_server_hash, pair: (apr_bucket_socket_make, pthread_cond_timedwait), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in apr_memcache_find_server_hash, pair: (apr_bucket_socket_make, pthread_cond_wait), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (allocator_free, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_brigade_cleanup, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, apr_pool_destroy), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, free_proc_chain), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, free), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, memchr), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, run_cleanups), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (apr_bucket_socket_make, writev), support: 15, confidence: 83.33%
bug: apr_bucket_socket_make in ms_find_conn, pair: (__errno_location, apr_bucket_socket_make), support: 16, confidence: 88.89%
