bug: abort in add_browser, pair: (abort, apr_cpystrn), support: 17, confidence: 85.00%
bug: abort in handle_elif, pair: (abort, apr_thread_mutex_unlock), support: 18, confidence: 90.00%
bug: abort in handle_elif, pair: (abort, c2x), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, gai_strerror), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, get_offset), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, gmtime_r), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, localtime_r), support: 16, confidence: 80.00%
bug: abort in handle_elif, pair: (abort, stuffbuffer), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, apr_error_string), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, apr_thread_mutex_lock), support: 18, confidence: 90.00%
bug: abort in handle_if, pair: (abort, apr_thread_mutex_unlock), support: 18, confidence: 90.00%
bug: abort in handle_if, pair: (abort, c2x), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, gai_strerror), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, get_offset), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, gmtime_r), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, localtime_r), support: 16, confidence: 80.00%
bug: abort in handle_if, pair: (abort, stuffbuffer), support: 16, confidence: 80.00%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, apr_allocator_mutex_get), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 81.82%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, apr_proc_kill), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, apr_sleep), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, free_proc_chain), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, free), support: 48, confidence: 87.27%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, kill), support: 45, confidence: 81.82%
bug: allocator_free in apr_brigade_putc, pair: (allocator_free, run_cleanups), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_putc, pair: (__errno_location, allocator_free), support: 49, confidence: 89.09%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, apr_allocator_mutex_get), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 81.82%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, apr_proc_kill), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, apr_sleep), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, free_proc_chain), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, free), support: 48, confidence: 87.27%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, kill), support: 45, confidence: 81.82%
bug: allocator_free in apr_brigade_puts, pair: (allocator_free, run_cleanups), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_puts, pair: (__errno_location, allocator_free), support: 49, confidence: 89.09%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, apr_allocator_mutex_get), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 81.82%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, apr_proc_kill), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, apr_sleep), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, free_proc_chain), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, free), support: 48, confidence: 87.27%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, kill), support: 45, confidence: 81.82%
bug: allocator_free in apr_brigade_split_line, pair: (allocator_free, run_cleanups), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_split_line, pair: (__errno_location, allocator_free), support: 49, confidence: 89.09%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, apr_allocator_mutex_get), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 81.82%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, apr_proc_kill), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, apr_sleep), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, free_proc_chain), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, free), support: 48, confidence: 87.27%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, kill), support: 45, confidence: 81.82%
bug: allocator_free in apr_brigade_vprintf, pair: (allocator_free, run_cleanups), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, apr_allocator_mutex_get), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 81.82%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, apr_proc_kill), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, apr_sleep), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, free_proc_chain), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, free), support: 48, confidence: 87.27%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, kill), support: 45, confidence: 81.82%
bug: allocator_free in apr_brigade_vputstrs, pair: (allocator_free, run_cleanups), support: 46, confidence: 83.64%
bug: allocator_free in apr_brigade_vputstrs, pair: (__errno_location, allocator_free), support: 49, confidence: 89.09%
bug: allocator_free in apr_memcache_find_server_hash, pair: (allocator_free, kill), support: 45, confidence: 81.82%
bug: allocator_free in apr_pool_destroy, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 81.82%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, apr_allocator_mutex_get), support: 46, confidence: 83.64%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 83.64%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 83.64%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 81.82%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, apr_proc_kill), support: 46, confidence: 83.64%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, apr_sleep), support: 46, confidence: 83.64%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, free_proc_chain), support: 46, confidence: 83.64%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, free), support: 48, confidence: 87.27%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, kill), support: 45, confidence: 81.82%
bug: allocator_free in ap_send_error_response, pair: (allocator_free, run_cleanups), support: 46, confidence: 83.64%
bug: allocator_free in ap_send_error_response, pair: (__errno_location, allocator_free), support: 49, confidence: 89.09%
bug: allocator_free in brigade_flush, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: allocator_free in brigade_flush, pair: (allocator_free, apr_allocator_mutex_get), support: 46, confidence: 83.64%
bug: allocator_free in brigade_flush, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 83.64%
bug: allocator_free in brigade_flush, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 83.64%
bug: allocator_free in brigade_flush, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 81.82%
bug: allocator_free in brigade_flush, pair: (allocator_free, apr_proc_kill), support: 46, confidence: 83.64%
bug: allocator_free in brigade_flush, pair: (allocator_free, apr_sleep), support: 46, confidence: 83.64%
bug: allocator_free in brigade_flush, pair: (allocator_free, free_proc_chain), support: 46, confidence: 83.64%
bug: allocator_free in brigade_flush, pair: (allocator_free, free), support: 48, confidence: 87.27%
bug: allocator_free in brigade_flush, pair: (allocator_free, kill), support: 45, confidence: 81.82%
bug: allocator_free in brigade_flush, pair: (allocator_free, run_cleanups), support: 46, confidence: 83.64%
bug: allocator_free in brigade_flush, pair: (__errno_location, allocator_free), support: 49, confidence: 89.09%
bug: allocator_free in core_map_to_storage, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: allocator_free in core_map_to_storage, pair: (allocator_free, apr_allocator_mutex_get), support: 46, confidence: 83.64%
bug: allocator_free in core_map_to_storage, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 83.64%
bug: allocator_free in core_map_to_storage, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 83.64%
bug: allocator_free in core_map_to_storage, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 81.82%
bug: allocator_free in core_map_to_storage, pair: (allocator_free, apr_proc_kill), support: 46, confidence: 83.64%
bug: allocator_free in core_map_to_storage, pair: (allocator_free, apr_sleep), support: 46, confidence: 83.64%
bug: allocator_free in core_map_to_storage, pair: (allocator_free, free_proc_chain), support: 46, confidence: 83.64%
bug: allocator_free in core_map_to_storage, pair: (allocator_free, kill), support: 45, confidence: 81.82%
bug: allocator_free in core_map_to_storage, pair: (allocator_free, run_cleanups), support: 46, confidence: 83.64%
bug: allocator_free in fix_hostname, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: allocator_free in fix_hostname, pair: (allocator_free, apr_allocator_mutex_get), support: 46, confidence: 83.64%
bug: allocator_free in fix_hostname, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 83.64%
bug: allocator_free in fix_hostname, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 83.64%
bug: allocator_free in fix_hostname, pair: (allocator_free, apr_pool_destroy), support: 45, confidence: 81.82%
bug: allocator_free in fix_hostname, pair: (allocator_free, apr_proc_kill), support: 46, confidence: 83.64%
bug: allocator_free in fix_hostname, pair: (allocator_free, apr_sleep), support: 46, confidence: 83.64%
bug: allocator_free in fix_hostname, pair: (allocator_free, free_proc_chain), support: 46, confidence: 83.64%
bug: allocator_free in fix_hostname, pair: (allocator_free, kill), support: 45, confidence: 81.82%
bug: allocator_free in fix_hostname, pair: (allocator_free, run_cleanups), support: 46, confidence: 83.64%
bug: allocator_free in init_process, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: allocator_free in main, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 80.00%
bug: ap_add_node in core_map_to_storage, pair: (ap_add_node, memchr), support: 12, confidence: 85.71%
bug: ap_add_node in include_config, pair: (ap_add_node, memchr), support: 12, confidence: 85.71%
bug: ap_explode_recent_localtime in add_setenvif_core, pair: (__ctype_b_loc, ap_explode_recent_localtime), support: 10, confidence: 83.33%
bug: ap_explode_recent_localtime in ap_open_piped_log, pair: (ap_explode_recent_localtime, strcasecmp), support: 11, confidence: 91.67%
bug: ap_explode_recent_localtime in ap_open_piped_log, pair: (ap_explode_recent_localtime, strcmp), support: 11, confidence: 91.67%
bug: ap_explode_recent_localtime in ap_open_piped_log, pair: (__ctype_b_loc, ap_explode_recent_localtime), support: 10, confidence: 83.33%
bug: ap_explode_recent_localtime in ap_process_resource_config, pair: (ap_explode_recent_localtime, apr_os_strerror), support: 11, confidence: 91.67%
bug: ap_explode_recent_localtime in ap_process_resource_config, pair: (ap_explode_recent_localtime, native_strerror), support: 11, confidence: 91.67%
bug: ap_get_server_banner in ap_get_server_version, pair: (ap_get_server_banner, strlen), support: 12, confidence: 92.31%
bug: ap_index_of_response in ap_basic_http_header, pair: (ap_index_of_response, apr_thread_mutex_lock), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_basic_http_header, pair: (ap_index_of_response, apr_thread_mutex_unlock), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_basic_http_header, pair: (ap_index_of_response, malloc), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_basic_http_header, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_custom_response, pair: (ap_index_of_response, strcasecmp), support: 15, confidence: 88.24%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, apr_thread_mutex_lock), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, apr_thread_mutex_unlock), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, malloc), support: 14, confidence: 82.35%
bug: ap_index_of_response in ap_get_status_line, pair: (ap_index_of_response, strcasecmp), support: 15, confidence: 88.24%
bug: ap_index_of_response in ap_get_status_line, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (ap_index_of_response, apr_thread_mutex_lock), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (ap_index_of_response, apr_thread_mutex_unlock), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (ap_index_of_response, malloc), support: 14, confidence: 82.35%
bug: ap_index_of_response in basic_http_header_check, pair: (__ctype_b_loc, ap_index_of_response), support: 14, confidence: 82.35%
bug: apr_allocator_destroy in ap_mpm_run, pair: (allocator_free, apr_allocator_destroy), support: 44, confidence: 97.78%
bug: apr_allocator_destroy in apr_memcache_find_server_hash, pair: (apr_allocator_destroy, kill), support: 44, confidence: 97.78%
bug: apr_allocator_destroy in apr_pool_destroy, pair: (apr_allocator_destroy, apr_pool_destroy), support: 44, confidence: 97.78%
bug: apr_allocator_mutex_set in ap_mpm_run, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 90.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, kill), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_app_initialize, pair: (__errno_location, apr_allocator_mutex_set), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 90.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, kill), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_initialize, pair: (__errno_location, apr_allocator_mutex_set), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_memcache_find_server_hash, pair: (apr_allocator_mutex_set, kill), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_pool_destroy, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (allocator_free, apr_allocator_mutex_set), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 90.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_allocator_owner_get), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_pool_destroy), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_proc_kill), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, apr_sleep), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, free_proc_chain), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, kill), support: 46, confidence: 92.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (apr_allocator_mutex_set, run_cleanups), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in apr_pool_initialize, pair: (__errno_location, apr_allocator_mutex_set), support: 47, confidence: 94.00%
bug: apr_allocator_mutex_set in init_process, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 90.00%
bug: apr_allocator_mutex_set in main, pair: (apr_allocator_destroy, apr_allocator_mutex_set), support: 45, confidence: 90.00%
bug: apr_allocator_owner_get in ap_mpm_run, pair: (allocator_free, apr_allocator_owner_get), support: 46, confidence: 97.87%
bug: apr_allocator_owner_get in apr_memcache_find_server_hash, pair: (apr_allocator_owner_get, kill), support: 46, confidence: 97.87%
bug: apr_allocator_owner_get in apr_pool_destroy, pair: (apr_allocator_owner_get, apr_pool_destroy), support: 46, confidence: 97.87%
bug: apr_allocator_owner_get in init_process, pair: (apr_allocator_destroy, apr_allocator_owner_get), support: 45, confidence: 95.74%
bug: apr_allocator_owner_get in main, pair: (apr_allocator_destroy, apr_allocator_owner_get), support: 45, confidence: 95.74%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (allocator_free, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_destroy, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_mutex_get, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_mutex_set, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_allocator_owner_get, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_cleanup, apr_brigade_flatten), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_pool_allocator_get), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_pool_destroy), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_proc_kill), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, apr_sleep), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, destroy_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free_container), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free_proc_chain), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, free), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, gettimeofday), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, kill), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, memchr), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pop_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pthread_cond_signal), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pthread_cond_timedwait), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, pthread_cond_wait), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, run_cleanups), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (apr_brigade_flatten, writev), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_brigade_pflatten, pair: (__errno_location, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, kill), support: 14, confidence: 82.35%
bug: apr_brigade_flatten in apr_memcache_find_server_hash, pair: (apr_brigade_flatten, malloc), support: 16, confidence: 94.12%
bug: apr_brigade_flatten in get_server_line, pair: (allocator_free, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_destroy, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_mutex_get, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_mutex_set, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_allocator_owner_get, apr_brigade_flatten), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_bucket_socket_make), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_pool_allocator_get), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_pool_destroy), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_proc_kill), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, apr_sleep), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, destroy_resource), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, free_container), support: 15, confidence: 88.24%
bug: apr_brigade_flatten in get_server_line, pair: (apr_brigade_flatten, free_proc_chain), support: 15, confidence: 88.24%
